1.932, 10, 147, 168, 2.296444
1.932, 1, 239, 146, 2.311
1.932, 12, 97, 116, 2.357222
1.932, 5, 11, 84.875, 2.30875
1.932, 2, 281, 69, 2.294555
2.132, 11, 52.25, 196, 2.28975
2.132, 10, 145, 164, 2.316778
2.132, 1, 237.125, 141.125, 2.2775
2.132, 12, 94.5, 112, 2.28775
2.132, 7, 187, 94, 2.367889
2.132, 2, 277, 64, 2.304667
2.332, 11, 52, 196.4, 2.276
2.332, 10, 146, 163, 2.325444
2.332, 1, 236.7143, 141.1429, 2.298428
2.332, 7, 187.5, 94, 2.343
2.332, 2, 278, 63, 2.319556
2.567, 11, 51, 197.3333, 2.308444
2.567, 10, 145, 164, 2.377778
2.567, 1, 236.8333, 142, 2.2775
2.567, 12, 94, 112, 2.304
2.567, 7, 187.5556, 95, 2.343889
2.567, 2, 278, 65, 2.369
2.766, 11, 52.88889, 198.3333, 2.216222
2.766, 10, 146, 165, 2.356333
2.766, 1, 237.125, 144, 2.285
2.766, 12, 96, 113, 2.273
2.766, 7, 188.125, 95.875, 2.353
2.766, 5, 9.5, 81.5, 2.388
2.766, 2, 279, 66, 2.303
3.000, 11, 51.33333, 198.6667, 2.312111
3.000, 10, 145, 165, 2.355445
3.000, 1, 236.1429, 143, 2.280286
3.000, 12, 94, 113, 2.320333
3.000, 7, 187.1111, 96, 2.370889
3.000, 2, 277, 65, 2.309111
3.202, 5, 9, 83, 2.343889
3.202, 11, 52.5, 198.5, 2.238
3.202, 10, 146, 165, 2.332444
3.202, 1, 237, 143, 2.28125
3.202, 12, 94.77778, 113, 2.284778
3.202, 7, 188.2222, 95, 2.351889
3.202, 2, 278.1111, 65, 2.312333
3.432, 11, 54, 198.1111, 2.182667
3.432, 10, 145.4, 165, 2.3574
3.432, 1, 237, 142, 2.364333
3.432, 12, 95.875, 112.875, 2.25425
3.432, 7, 187, 95, 2.381889
3.432, 2, 277, 64, 2.327889
3.598, 10, 147, 163, 2.311666
3.598, 1, 238.8333, 139.6667, 2.2725
3.598, 12, 95.11111, 112, 2.317555
3.598, 7, 189, 94, 2.330555
3.598, 5, 9, 81, 2.292111
3.598, 2, 279, 63, 2.267778
3.797, 11, 54, 194.3333, 2.291333
3.797, 10, 146, 162, 2.361667
3.797, 1, 236.6667, 139, 2.254111
3.797, 12, 94.375, 109.875, 2.2975
3.797, 7, 186, 92, 2.393667
3.797, 2, 277, 60, 2.295444
4.032, 11, 57, 209, 2.247333
4.032, 10, 147, 171, 2.240111
4.032, 1, 237, 144, 2.315111
4.032, 12, 93, 122, 2.340445
4.032, 7, 185.5, 99, 2.349667
4.032, 2, 274, 64, 2.353778
4.266, 11, 63.125, 209.875, 2.274625
4.266, 10, 151, 167, 2.273778
4.266, 1, 240, 136, 2.295444
4.266, 12, 95, 121, 2.400111
4.266, 7, 185.625, 94, 2.341
4.266, 2, 272, 56, 2.321
4.466, 10, 157, 174, 2.268778
4.466, 1, 246, 140, 2.266222
4.466, 12, 100, 130, 2.361667
4.466, 5, 14, 111, 2.412111
4.466, 7, 189, 100.125, 2.366
4.466, 2, 275, 57, 2.301333
4.665, 11, 60.2, 209.4, 2.327
4.665, 10, 148, 168, 2.327222
4.665, 1, 236, 137, 2.304889
4.665, 12, 93, 122, 2.348333
4.665, 7, 183, 95, 2.377889
4.665, 2, 270, 55, 2.329222
4.865, 11, 60.88889, 205.3333, 2.316778
4.865, 10, 148, 167, 2.356333
4.865, 1, 236, 137, 2.321667
4.865, 12, 95, 120, 2.395444
4.865, 5, 10, 97, 2.429
4.865, 7, 184, 95, 2.372334
4.865, 2, 271, 57, 2.289556
5.098, 11, 48.25, 197.75, 2.351
5.098, 10, 137, 161, 2.348333
5.098, 1, 224, 136, 2.304778
5.098, 12, 84, 114, 2.353667
5.098, 7, 174, 92, 2.376889
5.098, 2, 261, 59, 2.358556
5.299, 11, 49.5, 197, 2.347
5.299, 10, 136, 162, 2.400889
5.299, 1, 224, 137, 2.380778
5.299, 12, 85, 114, 2.353667
5.299, 7, 174, 94, 2.415889
5.299, 2, 261, 62, 2.453889
5.498, 11, 47.75, 190.75, 2.42375
5.498, 10, 134.6667, 159, 2.419
5.498, 1, 222, 136, 2.423333
5.498, 12, 85, 111, 2.388
5.498, 7, 173, 92, 2.468333
5.498, 2, 260, 62, 2.375333
5.698, 10, 136, 159, 2.428222
